doctype,item_name,valuation_rate,image,item_group,item_code,stock_uom,standard_rate,opening_stock,warehouse
Item,Onion (Loose),69.75,https://www.bigbasket.com/media/uploads/p/l/40075537_5-fresho-onion.jpg,Fruits & Vegetables,ITEM001,kg,70,659,Stores-WH
Item,Onion,174.35,https://www.bigbasket.com/media/uploads/p/l/1201414_1-fresho-onion.jpg,Fruits & Vegetables,ITEM002,kg,174,763,Stores-WH
Item,Onion (Loose),34.87,https://www.bigbasket.com/media/uploads/p/l/10000148_30-fresho-onion.jpg,Fruits & Vegetables,ITEM003,kg,35,828,Stores-WH
Item,Onion,69.74,https://www.bigbasket.com/media/uploads/p/l/1201413_1-fresho-onion.jpg,Fruits & Vegetables,ITEM004,kg,70,674,Stores-WH
Item,Onion (Loose),174.37,https://www.bigbasket.com/media/uploads/p/l/10000150_19-fresho-onion.jpg,Fruits & Vegetables,ITEM005,kg,174,592,Stores-WH
Item,"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",110,https://www.bigbasket.com/media/uploads/p/l/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg,"Eggs, Meat & Fish",ITEM006,kg,110,530,Stores-WH
Item,"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",210,https://www.bigbasket.com/media/uploads/p/l/150502_6-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg,"Eggs, Meat & Fish",ITEM007,kg,210,406,Stores-WH
Item,Potato (Loose),50.32,https://www.bigbasket.com/media/uploads/p/l/40048457_9-fresho-potato-new-crop.jpg,Fruits & Vegetables,ITEM008,kg,50,759,Stores-WH
Item,Potato,100.65,https://www.bigbasket.com/media/uploads/p/l/40162469_6-fresho-potato-new-crop.jpg,Fruits & Vegetables,ITEM009,kg,101,84,Stores-WH
Item,Eggs - Regular,250,https://www.bigbasket.com/media/uploads/p/l/1205938_1-fresho-eggs-regular.jpg,"Eggs, Meat & Fish",ITEM010,kg,250,965,Stores-WH
Item,"Farm Eggs - Regular, Medium, Antibiotic Residue-Free",50,https://www.bigbasket.com/media/uploads/p/l/281204_9-fresho-farm-eggs-regular-medium-antibiotic-residue-free.jpg,"Eggs, Meat & Fish",ITEM011,kg,50,276,Stores-WH
Item,Eggs - Regular,100,https://www.bigbasket.com/media/uploads/p/l/1203477_2-fresho-eggs-regular.jpg,"Eggs, Meat & Fish",ITEM012,kg,100,613,Stores-WH
Item,Eggs - Regular,200,https://www.bigbasket.com/media/uploads/p/l/1205933_1-fresho-eggs-regular.jpg,"Eggs, Meat & Fish",ITEM013,kg,200,767,Stores-WH
Item,Atta/Godihittu - Whole Wheat,119,https://www.bigbasket.com/media/uploads/p/l/161826_8-aashirvaad-atta-whole-wheat.jpg,"Foodgrains, Oil & Masala",ITEM014,kg,119,570,Stores-WH
Item,Atta/Godihittu - Whole Wheat,301,https://www.bigbasket.com/media/uploads/p/l/126903_9-aashirvaad-atta-whole-wheat.jpg,"Foodgrains, Oil & Masala",ITEM015,kg,301,599,Stores-WH
Item,Atta/Godihittu - Whole Wheat,65,https://www.bigbasket.com/media/uploads/p/l/30006887_7-aashirvaad-atta-whole-wheat.jpg,"Foodgrains, Oil & Masala",ITEM016,kg,65,368,Stores-WH
Item,"Disinfectant Toilet Cleaner Liquid, Original",93,https://www.bigbasket.com/media/uploads/p/l/263754_13-harpic-power-plus-disinfectant-toilet-cleaner-liquid-original.jpg,Cleaning & Household,ITEM017,kg,93,715,Stores-WH
Item,Disinfectant Toilet Cleaner Liquid - Original,186,https://www.bigbasket.com/media/uploads/p/l/1200366_7-harpic-original-disinfectant-toilet-cleaner-liquid.jpg,Cleaning & Household,ITEM018,kg,186,253,Stores-WH
Item,"Disinfectant Toilet Cleaner Liquid, Original",195,https://www.bigbasket.com/media/uploads/p/l/298290_11-harpic-power-plus-disinfectant-toilet-cleaner-original.jpg,Cleaning & Household,ITEM019,kg,195,283,Stores-WH
Item,Disinfectant Toilet Cleaner Liquid - Original,390,https://www.bigbasket.com/media/uploads/p/l/1200277_10-harpic-disinfectant-toilet-cleaner-liquid-original-kills-999-germs.jpg,Cleaning & Household,ITEM020,kg,390,453,Stores-WH
Item,Disinfectant Toilet Cleaner Liquid - Original,585,https://www.bigbasket.com/media/uploads/p/l/1207190_6-harpic-original-disinfectant-toilet-cleaner-liquid.jpg,Cleaning & Household,ITEM021,kg,585,508,Stores-WH
Item,"Disinfectant Toilet Cleaner Liquid, Original",40,https://www.bigbasket.com/media/uploads/p/l/263737_10-harpic-power-plus-disinfectant-toilet-cleaner-liquid-original.jpg,Cleaning & Household,ITEM022,kg,40,986,Stores-WH
